,전국,서울특별시,강북구,광진구,노원구,도봉구,동대문구,마포구,서대문구,성동구,성북구,용산구,은평구,종로구,중구,중랑구,강남구,강동구,강서구,관악구,구로구,금천구,동작구,서초구,송파구,양천구,영등포구
2008년 1월,57.0,57.6,60.3,62.5,48.5,58.1,57.5,54.3,58.9,60.5,55.6,64.7,62.2,67.4,65.4,57.6,61.7,62.2,59.7,60.5,54.5,58.1,57.5,61.6,61.7,60.2,53.5
2008년 2월,57.1,57.9,61.1,62.5,49.7,58.4,57.9,54.4,59.5,60.6,56.1,65.0,62.4,67.7,65.6,57.8,61.7,62.2,59.9,60.8,54.5,58.5,57.7,61.6,61.6,60.2,53.6
2008년 3월,57.5,58.7,61.4,62.7,52.5,59.5,59.0,54.6,60.1,61.0,56.9,65.5,62.7,68.3,66.0,59.5,61.9,62.3,60.4,61.1,55.1,59.9,57.9,61.6,61.6,60.4,53.8
2008년 4월,58.1,59.9,63.8,63.0,55.8,62.5,60.3,55.0,60.9,61.3,58.1,65.8,63.6,69.1,66.4,62.3,62.1,62.4,61.2,62.3,56.0,60.9,58.4,61.7,61.6,60.3,54.4
2008년 5월,58.4,60.4,64.9,63.3,56.9,63.5,60.8,55.3,61.7,61.5,58.7,66.0,64.3,69.1,66.7,63.9,62.2,62.3,62.0,62.8,56.7,62.1,58.5,61.6,61.3,60.3,54.7
2008년 6월,58.7,60.7,65.7,63.3,57.6,64.2,61.2,55.6,62.4,61.5,59.5,66.2,65.0,69.4,66.7,64.8,62.0,61.6,62.7,63.3,57.0,63.2,58.8,61.6,60.9,60.3,55.0
2008년 7월,58.9,60.8,66.1,63.3,57.9,64.4,61.6,55.8,62.8,61.6,60.0,66.4,65.5,70.2,66.7,65.2,61.8,61.4,62.9,63.4,57.3,63.8,58.9,61.5,60.7,60.3,55.1
2008년 8월,59.0,60.8,66.2,63.4,57.9,64.5,61.6,55.9,63.0,61.5,60.2,66.5,65.7,70.6,66.7,65.3,61.6,61.2,63.0,63.5,57.4,64.1,58.9,61.4,60.5,60.1,55.2
2008년 9월,59.1,60.8,66.2,63.3,57.9,64.6,61.9,56.0,63.0,61.6,60.3,66.6,66.1,70.8,66.7,65.4,61.4,60.9,63.2,63.6,57.6,64.4,59.0,61.2,60.3,59.9,55.1
2008년 10월,59.1,60.7,66.2,63.2,57.8,64.5,61.9,55.6,63.0,61.5,60.3,66.7,66.2,70.8,66.6,65.4,60.8,60.0,63.2,63.7,57.7,65.0,58.9,60.7,59.7,59.3,55.2
