, 서울,gu,dong,school_name,school_walk_min,time_gangnam,time_yeouido,time_cityhall,complex_name,building_type,year_built,complex_size,households,layout_type,rooms,bathrooms,pyeong,peak_price,current_price,price_jeonse,drop_from_peak_pct,expert_comment,risk_comment,jeonse_ratio,price_gap
809,도봉4,도봉, 도봉구 시루봉로 183,서울신학초,3 ,65 ,75 ,58 ,방학 신동아1,구축,1986 ,대단지,3169 ,복도식,2 ,1 ,21 ,53700 ,36000 ,23000 ,-33%,"“전고점 대비 조정 폭이 충분한 구간”

“전고점 대비 중간 조정 구간”",,0.64 ,13000 
774,노원3,노원, 노원구 동일로 1530,서울상곡초,4 ,55 ,67 ,47 ,상계 주공12,구축,1988 ,대단지,1739 ,복도식,2 ,1 ,18 ,62000 ,39000 ,21000 ,-37%,,,0.54 ,18000 
2311,중랑3,중랑, 중랑구 신내로 115,금성/내솔초,5 ,55 ,65 ,50 ,신내 6단지시영,구축,1996 ,대단지,1609 ,복도식,2 ,1 ,16 ,57900 ,39800 ,23000 ,-31%,"전고점대비 어쩌구 저쩌구, 매수하세요",,0.58 ,16800 
733,금천4,금천,금천구 독산로10길 100,서울영남초,5 ,46 ,30 ,42 ,독산 주공14,구축,1990 ,중단지,840 ,계단식,3 ,1 ,24 ,59700 ,40000 ,23000 ,-33%,,,0.58 ,17000 
802,도봉3,도봉, 도봉구 해등로 218,서울한신초,4 ,58 ,70 ,52 ,쌍문 현대1차,구축,1990 ,중단지,783 ,복도식,3 ,1 ,21 ,55000 ,40000 ,28000 ,-27%,"하락률대신, 코멘트 문장으로 넣기",,0.70 ,12000 
810,도봉4,도봉, 도봉구 시루봉로 183,서울신학초,3 ,65 ,75 ,58 ,방학 신동아1,구축,1986 ,대단지,3169 ,복도식,2 ,1 ,24 ,60000 ,42000 ,22000 ,-30%,,,0.52 ,20000 
730,금천3,금천,금천구 금하로 763,서울백산초,4 ,55 ,40 ,50 ,시흥 관악산 벽산타운5,준신축,2004 ,대단지,2810 ,복도식,3 ,1 ,24 ,62500 ,44000 ,23000 ,-30%,,,0.52 ,21000 
418,강서4,강서,강서구 금낭화로 190,서울치현초,3 ,58 ,32 ,45 ,방화 방화5단지,구축,1994 ,대단지,1372 ,복도식,2 ,1 ,13 ,59900 ,44200 ,24000 ,-26%,,,0.54 ,20200 
688,구로3,구로,구로구 오류로 21,서울오류초,4 ,53 ,36 ,43 ,오류 동부골든,구축,1998 ,대단지,1236 ,복도식,2 ,1 ,24 ,59900 ,45000 ,28000 ,-25%,,,0.62 ,17000 
746,노원2,노원,노원구 중계로 190,서울원광초,3 ,58 ,68 ,51 ,중계 주공5,구축,1992 ,대단지,2328 ,복도식,2 ,1 ,17 ,67000 ,47000 ,15000 ,-30%,,,0.32 ,32000 
792,도봉2,도봉, 도봉구 노해로 315,서울창동초,5 ,50 ,62 ,45 ,창동주공1,구축,1990 ,중단지,808 ,복도식,2 ,1 ,18 ,53500 ,47000 ,33000 ,-12%,,,0.70 ,14000 
2307,중랑3,중랑, 중랑구 신내로19길 2,신내초등학교,4 ,55 ,65 ,50 ,신내 동성3차,구축,1997 ,중단지,800 ,복도식,3 ,1 ,24 ,65000 ,49000 ,31000 ,-25%,,,0.63 ,18000 
419,강서4,강서,강서구 금낭화로 190,서울치현초,3 ,58 ,32 ,45 ,방화 방화5단지,구축,1994 ,대단지,1372 ,복도식,2 ,1 ,16 ,65000 ,49500 ,27000 ,-24%,,,0.55 ,22500 
296,강북4,강북, 강북구 도봉로 10길 54 (수유동 734),서울수유초,7 ,55 ,52 ,40 ,수유 벽산1차,구축,1993 ,대단지,1454 ,복도식,3 ,1 ,24 ,65000 ,51000 ,38000 ,-22%,,,0.75 ,13000 
803,도봉3,도봉, 도봉구 해등로 218,서울한신초,4 ,58 ,70 ,52 ,쌍문 현대1차,구축,1990 ,중단지,783 ,계단식,3 ,1 ,27 ,62000 ,52000 ,33000 ,-16%,,,0.63 ,19000 
739,노원2,노원,노원구 섬밭로 285,서울중계초,3 ,52 ,62 ,45 ,중계그린,구축,1990 ,대단지,3481 ,복도식,3 ,1 ,18 ,62000 ,53000 ,29000 ,-15%,,,0.55 ,24000 
750,노원2,노원,노원구 중계로 230,서울을지초,5 ,60 ,70 ,53 ,중계 경남 롯데 상아,구축,1989 ,대단지,1890 ,계단식,2 ,1 ,21 ,68000 ,53000 ,30000 ,-22%,,,0.57 ,23000 
769,노원2,노원, 노원구 노원로 495,서울상계초,3 ,48 ,60 ,40 ,상계 주공7,구축,1988 ,대단지,2634 ,복도식,2 ,1 ,18 ,70000 ,53000 ,23000 ,-24%,,,0.43 ,30000 
